,,db1,db2,db3,db4,db5,db6,db7,db8,db9
Sqlite,query1,1.665232716469383e-05,4.395110920102019e-05,7.036547448855868e-05,6.507534095185365e-05,7.492129203370695e-05,4.494997219131508e-05,1.2389511693363873e-05,4.67792689126284e-05,6.305156619783524e-05
Sqlite,query2,0.0005505989466026973,0.00053411581141172,0.0008329095389056365,0.003032817914085842,0.00541323173344722,0.016018300274997968,0.0046139979085387545,0.03284354052625873,0.1314848150917055
Sqlite,query3,4.515860936742847e-05,0.0001758726812213881,0.00016424676556937124,8.764587839710435e-05,0.00011125331455736499,0.00018719855768675145,0.0003877598483597806,0.0022734312833248356,0.029194026072126462
Sqlite,query4,0.0004815773042825004,0.0005155810314586835,0.0002237257249401597,0.0003951332686575505,0.0009742990813913354,0.004598133827978477,0.00044778845451842546,0.050517855274150335,0.11170078562302067
Maria(index),query1,6.726217361935309e-05,3.944236301237541e-05,2.3036926878383748e-05,3.229086558146126e-05,4.367722518658895e-05,4.168093089171593e-05,4.256406935432748e-05,3.2106074191654136e-05,3.157847368065785e-05
Maria(index),query2,0.017294194372678942,0.0019093203502817439,0.023501550048879757,0.05908311344369049,0.011659458919692627,0.01407904674685044,0.026249649115750107,0.06759208666848508,35.510232913150865
Maria(index),query3,6.572670690061986e-06,8.348652585896709e-06,5.007294678766168e-05,1.672722332008517e-05,8.047173416796736e-05,4.081298812878079e-05,0.00013551641966935232,0.0013584075971518998,0.031818092515108455
Maria(index),query4,8.628846968164401e-05,0.00018892908722586895,0.00013464843110857239,0.002612816813326185,0.001332304657351314,0.01075662216962184,0.00821798591505242,0.03952828952535132,0.30481347868901737
Maria(no index),query1,0.00016383131568781348,9.300537618869137e-05,8.719346305773157e-05,0.00015606505053983096,0.00015714801939572767,0.00019552928169458403,0.0014181341614953082,0.0007812980865201195,0.00012610907976827037
Maria(no index),query2,0.004760991892452665,0.006650047458477269,0.005337614092457415,0.010478586531589078,0.010065825683966516,0.021424727459176694,0.018571855857721916,0.0833761254166923,6.783621290564979
Maria(no index),query3,8.332586633213001e-05,7.661592523751167e-06,4.077744474583959e-05,0.00015901666579324318,0.0001307849379707005,0.00039096291384222137,0.00019037909549107516,0.004354694386521289,0.028279595980140827
Maria(no index),query4,1.409609875107287e-05,8.067713430706368e-05,8.236686226875464e-05,0.03298246629195578,0.02720667810115745,0.01690403613933661,0.21275817870225402,4.565347836692002,23.611834662156294
MongoDB,query1,0.00044721359549995795,0.0,0.0,0.0008366600265340755,0.0005477225575051661,0.0005477225575051661,0.0016431676725154984,0.0014832396974191326,0.002408318915758459
MongoDB,query2,0.0,0.0,0.00044721359549995795,0.0018165902124584947,0.00151657508881031,0.005540758070878026,0.0016733200530681528,0.013535139452550887,0.1519680887555017
MongoDB,query3,0.000447213595499958,0.000447213595499958,0.000447213595499958,0.002345207879911715,0.003714835124201342,0.004827007354458868,0.005357238094391549,0.02841302518212379,0.07171680416750319
MongoDB,query4,0.009984988733093293,0.0038340579025361618,0.005727128425310543,0.012581732790041284,0.009099450532861857,0.012876334882255898,0.08122992059580014,0.042831063493684124,0.05209894432711667
